[2025-06-19T01:27:07Z] -----	 Migration started at 2025-06-19T01:27:07Z for VM alm-smartm-vm.alm.mentorg.com -----
[2025-06-19T01:27:07Z] Running in pod
[2025-06-19T01:27:10Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:11Z] Connected to OpenStack
[2025-06-19T01:27:12Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:12Z] Creating volumes in OpenStack
[2025-06-19T02:41:58Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:59Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:01Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:02Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:04Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:06Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:08Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:10Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:11Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:13Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:15Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:38Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:40Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:42Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:44Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:46Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:47Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:49Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:51Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:53Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:55Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:57Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:58Z] Copying disk 0, Completed: 16%
[2025-06-19T02:42:59Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:01Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:03Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:05Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:07Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:09Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:10Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:12Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:14Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:16Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:17Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:19Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:21Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:23Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:25Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:26Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:28Z] Copying disk 0, Completed: 16%
[2025-06-19T02:43:30Z] Copying disk 0, Completed: 16%
