[2025-06-19T01:27:13Z] -----	 Migration started at 2025-06-19T01:27:13Z for VM bd78.alm.mentorg.com -----
[2025-06-19T01:27:13Z] Running in pod
[2025-06-19T01:27:17Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:18Z] Connected to OpenStack
[2025-06-19T01:27:19Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:19Z] Creating volumes in OpenStack
[2025-06-19T02:42:55Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:56Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:57Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:58Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:59Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:00Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:01Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:02Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:03Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:04Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:05Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:06Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:07Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:08Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:09Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:10Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:11Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:12Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:13Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:14Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:15Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:16Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:17Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:18Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:19Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:20Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:21Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:22Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:23Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:24Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:25Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:26Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:27Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:28Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:29Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:30Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:31Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:32Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:33Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:34Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:35Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:36Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:37Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:38Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:40Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:41Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:42Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:43Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:44Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:45Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:46Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:47Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:48Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:49Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:50Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:51Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:52Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:53Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:54Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:55Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:56Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:57Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:58Z] Copying disk 1, Completed: 6%
[2025-06-19T02:43:59Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:00Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:21Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:22Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:23Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:24Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:25Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:26Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:27Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:28Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:29Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:30Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:31Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:32Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:33Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:34Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:35Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:36Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:37Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:38Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:39Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:40Z] Copying disk 1, Completed: 6%
[2025-06-19T02:44:41Z] Copying disk 1, Completed: 6%
