[2025-06-19T01:27:20Z] -----	 Migration started at 2025-06-19T01:27:20Z for VM ftpeps.alm.mentorg.com -----
[2025-06-19T01:27:20Z] Running in pod
[2025-06-19T01:27:22Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:24Z] Connected to OpenStack
[2025-06-19T01:27:24Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:24Z] Creating volumes in OpenStack
[2025-06-19T02:43:35Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:37Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:39Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:40Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:42Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:44Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:46Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:48Z] Copying disk 1, Completed: 28%
[2025-06-19T02:43:50Z] Copying disk 1, Completed: 28%
[2025-06-19T02:43:52Z] Copying disk 1, Completed: 28%
[2025-06-19T02:43:54Z] Copying disk 1, Completed: 28%
[2025-06-19T02:43:55Z] Copying disk 1, Completed: 28%
[2025-06-19T02:43:57Z] Copying disk 1, Completed: 28%
[2025-06-19T02:43:59Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:21Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:23Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:25Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:27Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:29Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:31Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:33Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:34Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:36Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:38Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:40Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:44Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:45Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:47Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:49Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:51Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:52Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:54Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:55Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:56Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:56Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:57Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:58Z] Copying disk 1, Completed: 28%
[2025-06-19T02:44:59Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:00Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:01Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:02Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:23Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:24Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:25Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:25Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:27Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:28Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:29Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:29Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:30Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:31Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:31Z] Copying disk 1, Completed: 28%
[2025-06-19T02:45:32Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:33Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:34Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:34Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:35Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:36Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:37Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:37Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:38Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:39Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:40Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:41Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:42Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:42Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:44Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:46Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:47Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:49Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:51Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:53Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:55Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:57Z] Copying disk 1, Completed: 29%
[2025-06-19T02:45:59Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:00Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:02Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:04Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:06Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:08Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:09Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:11Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:13Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:15Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:17Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:19Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:21Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:23Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:24Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:47Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:48Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:50Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:52Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:54Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:56Z] Copying disk 1, Completed: 29%
[2025-06-19T02:46:58Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:00Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:02Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:03Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:05Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:09Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:11Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:13Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:14Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:16Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:18Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:20Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:22Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:24Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:26Z] Copying disk 1, Completed: 29%
[2025-06-19T02:47:27Z] Copying disk 1, Completed: 29%
[2025-06-19T02:48:10Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:12Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:14Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:16Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:18Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:20Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:21Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:23Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:25Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:27Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:29Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:31Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:32Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:34Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:36Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:38Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:40Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:42Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:44Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:45Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:47Z] Copying disk 1, Completed: 30%
[2025-06-19T02:48:49Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:11Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:13Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:15Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:17Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:19Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:21Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:23Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:25Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:27Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:29Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:31Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:32Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:34Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:36Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:38Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:40Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:42Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:44Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:46Z] Copying disk 1, Completed: 30%
[2025-06-19T02:49:47Z] Copying disk 1, Completed: 30%
